push_id,user_id,campaign_id,push_type,title,content,deep_link,scheduled_at,sent_at,delivered_at,opened_at,is_delivered,is_opened,failure_reason,created_at
18,421,,reminder,电子以后希望登录完全.,收藏的商品即将售罄,app://page/reminder/568,,2025-04-07 10:43:28.409709,2025-04-07 10:43:28.409709,2025-04-08 09:07:28.409709,t,t,,2025-04-07 10:43:28.409709
19,492,3,promotion,资料个人系统发布.,今日爆款，立省9元,app://page/promotion/129,,2025-08-16 22:49:49.409709,2025-08-16 22:49:49.409709,,t,f,,2025-08-16 22:49:49.409709
20,493,,promotion,或者论坛法律工具.,今日爆款，立省4元,app://page/promotion/4,,2026-01-15 01:31:59.409709,2026-01-15 01:31:59.409709,,t,f,,2026-01-15 01:31:59.409709
21,358,,reminder,销售而且发展她的问题.,收藏的商品即将售罄,app://page/reminder/273,,2025-04-28 12:05:18.409709,2025-04-28 12:05:18.409709,,t,f,,2025-04-28 12:05:18.409709
22,364,,order,这里发布学习.,订单已完成，期待您的评价,app://page/order/876,,2025-04-30 15:47:09.409709,2025-04-30 15:47:09.409709,,t,f,,2025-04-30 15:47:09.409709
23,452,,order,开发活动电影.,订单已完成，期待您的评价,app://page/order/413,,2025-04-16 13:56:15.409709,2025-04-16 13:56:15.409709,,t,f,,2025-04-16 13:56:15.409709
24,40,46,promotion,能够你们原因生活.,限时特惠！5折起,app://page/promotion/841,,2025-09-03 20:19:10.409709,2025-09-03 20:19:10.409709,,t,f,,2025-09-03 20:19:10.409709
25,160,,order,环境提供功能名称评论.,订单即将送达,app://page/order/72,,2025-12-26 04:41:31.409709,2025-12-26 04:41:31.409709,2025-12-27 03:23:31.409709,t,t,,2025-12-26 04:41:31.409709
26,463,,system,决定部分.,系统维护通知,app://page/system/974,,2025-09-30 07:25:20.409709,2025-09-30 07:25:20.409709,,t,f,,2025-09-30 07:25:20.409709
27,78,,order,两个他的设备记者.,您的订单已发货,app://page/order/548,,2025-12-28 09:09:58.409709,2025-12-28 09:09:58.409709,,t,f,,2025-12-28 09:09:58.409709
28,145,,system,登录由于就是点击公司.,新功能上线,app://page/system/35,,2025-02-09 17:16:54.409709,,,f,f,,2025-02-09 17:16:54.409709
29,314,,system,作为环境质量各种.,隐私政策更新,app://page/system/188,,2025-11-28 04:49:59.409709,2025-11-28 04:49:59.409709,,t,f,,2025-11-28 04:49:59.409709
30,491,,order,当前关于个人我们.,订单已完成，期待您的评价,app://page/order/765,,2025-08-06 03:41:33.409709,2025-08-06 03:41:33.409709,,t,f,,2025-08-06 03:41:33.409709
31,231,7,promotion,最新工程的是比较.,限时特惠！3折起,app://page/promotion/993,,2025-03-22 14:32:44.409709,2025-03-22 14:32:44.409709,,t,f,,2025-03-22 14:32:44.409709
32,408,23,promotion,只要设备希望.,今日爆款，立省6元,app://page/promotion/706,,2025-10-25 04:13:25.409709,2025-10-25 04:13:25.409709,,t,f,,2025-10-25 04:13:25.409709
33,32,,reminder,那个包括帖子首页.,收藏的商品即将售罄,app://page/reminder/648,,2025-05-31 21:01:10.409709,2025-05-31 21:01:10.409709,,t,f,,2025-05-31 21:01:10.409709
34,8,,system,一般继续电脑参加.,新功能上线,app://page/system/60,,2025-05-08 21:50:45.409709,2025-05-08 21:50:45.409709,,t,f,,2025-05-08 21:50:45.409709
35,473,28,promotion,语言网络那个.,专属福利，速来领取,app://page/promotion/828,,2025-04-28 02:30:17.409709,2025-04-28 02:30:17.409709,,t,f,,2025-04-28 02:30:17.409709
36,475,,reminder,一直关于社区.,收藏的商品即将售罄,app://page/reminder/444,,2026-01-05 22:41:53.409709,2026-01-05 22:41:53.409709,,t,f,,2026-01-05 22:41:53.409709
37,452,,social,注册分析商品教育一定.,易莉给你发来了私信,app://page/social/534,,2025-02-28 16:53:49.409709,2025-02-28 16:53:49.409709,,t,f,,2025-02-28 16:53:49.409709
38,309,2,promotion,能够一次.,今日爆款，立省3元,app://page/promotion/94,,2025-06-25 01:19:23.409709,2025-06-25 01:19:23.409709,,t,f,,2025-06-25 01:19:23.409709
39,287,,order,还是电影发现觉得.,订单即将送达,app://page/order/348,,2025-06-05 00:55:07.409709,2025-06-05 00:55:07.409709,,t,f,,2025-06-05 00:55:07.409709
40,133,,system,计划管理帮助部门很多.,隐私政策更新,app://page/system/375,,2025-12-28 21:51:15.409709,,,f,f,,2025-12-28 21:51:15.409709
41,329,,reminder,这种我的还有内容.,购物车商品降价了,app://page/reminder/241,,2026-01-07 02:41:45.409709,2026-01-07 02:41:45.409709,2026-01-08 01:55:45.409709,t,t,,2026-01-07 02:41:45.409709
42,85,,system,联系程序.,系统维护通知,app://page/system/642,,2025-12-20 22:08:46.409709,2025-12-20 22:08:46.409709,,t,f,,2025-12-20 22:08:46.409709
43,165,,social,他们拥有欢迎.,冯平给你发来了私信,app://page/social/939,,2025-02-02 16:47:07.409709,2025-02-02 16:47:07.409709,,t,f,,2025-02-02 16:47:07.409709
44,472,,order,成为如果基本.,订单已完成，期待您的评价,app://page/order/354,,2025-09-20 09:16:51.409709,,,f,f,,2025-09-20 09:16:51.409709
45,144,,social,图片选择计划.,你的帖子收到了新评论,app://page/social/587,,2025-12-31 21:31:39.409709,2025-12-31 21:31:39.409709,2026-01-01 10:31:39.409709,t,t,,2025-12-31 21:31:39.409709
46,492,,promotion,一定软件.,限时特惠！4折起,app://page/promotion/82,,2025-08-24 04:29:27.409709,2025-08-24 04:29:27.409709,,t,f,,2025-08-24 04:29:27.409709
47,401,,order,情况北京.,您的订单已发货,app://page/order/824,,2025-10-13 04:07:36.409709,2025-10-13 04:07:36.409709,,t,f,,2025-10-13 04:07:36.409709
48,421,,reminder,这样国家自己.,会员即将到期，续费享优惠,app://page/reminder/10,,2025-09-29 22:53:02.409709,2025-09-29 22:53:02.409709,2025-09-30 10:19:02.409709,t,t,,2025-09-29 22:53:02.409709
49,467,,social,网站为了完成.,你的帖子收到了新评论,app://page/social/583,,2026-01-13 20:44:23.409709,,,f,f,,2026-01-13 20:44:23.409709
50,320,,reminder,如此地区没有工程.,购物车商品降价了,app://page/reminder/522,,2026-01-18 06:56:55.409709,2026-01-18 06:56:55.409709,,t,f,,2026-01-18 06:56:55.409709
51,418,,social,注册研究.,郑杨给你发来了私信,app://page/social/199,,2025-12-27 04:53:50.409709,2025-12-27 04:53:50.409709,,t,f,,2025-12-27 04:53:50.409709
52,479,,reminder,主题更新虽然那个人员.,收藏的商品即将售罄,app://page/reminder/929,,2025-11-25 02:18:02.409709,2025-11-25 02:18:02.409709,,t,f,,2025-11-25 02:18:02.409709
53,82,,order,状态主要主题虽然.,订单已完成，期待您的评价,app://page/order/760,,2025-08-01 02:28:39.409709,2025-08-01 02:28:39.409709,,t,f,,2025-08-01 02:28:39.409709
54,154,,social,标题只是我们发表.,裴秀芳给你发来了私信,app://page/social/229,,2025-05-25 16:16:10.409709,2025-05-25 16:16:10.409709,,t,f,,2025-05-25 16:16:10.409709
55,305,,order,到了我们.,您的订单已发货,app://page/order/724,,2025-10-01 03:44:05.409709,2025-10-01 03:44:05.409709,,t,f,,2025-10-01 03:44:05.409709
56,445,,reminder,语言当然.,会员即将到期，续费享优惠,app://page/reminder/974,,2025-04-23 14:48:01.409709,2025-04-23 14:48:01.409709,,t,f,,2025-04-23 14:48:01.409709
57,274,,reminder,组织一起那个运行.,会员即将到期，续费享优惠,app://page/reminder/938,,2025-05-31 13:08:40.409709,2025-05-31 13:08:40.409709,,t,f,,2025-05-31 13:08:40.409709
58,185,,social,图片一起显示完成显示.,李柳给你发来了私信,app://page/social/300,,2025-12-14 22:39:10.409709,2025-12-14 22:39:10.409709,,t,f,,2025-12-14 22:39:10.409709
59,423,,system,过程两个.,隐私政策更新,app://page/system/620,,2025-12-12 11:16:54.409709,2025-12-12 11:16:54.409709,,t,f,,2025-12-12 11:16:54.409709
60,107,,reminder,分析重要.,会员即将到期，续费享优惠,app://page/reminder/908,,2025-12-06 09:42:48.409709,2025-12-06 09:42:48.409709,,t,f,,2025-12-06 09:42:48.409709
61,332,,social,部分显示时候服务.,饶瑞关注了你,app://page/social/989,,2025-03-28 14:06:40.409709,2025-03-28 14:06:40.409709,,t,f,,2025-03-28 14:06:40.409709
62,69,,system,大学起来.,新功能上线,app://page/system/792,,2025-11-25 03:05:47.409709,2025-11-25 03:05:47.409709,,t,f,,2025-11-25 03:05:47.409709
63,363,,order,两个精华.,订单已完成，期待您的评价,app://page/order/72,,2025-07-22 11:14:59.409709,,,f,f,,2025-07-22 11:14:59.409709
64,7,,system,空间事情最后是一.,系统维护通知,app://page/system/250,,2025-09-21 01:17:34.409709,2025-09-21 01:17:34.409709,,t,f,,2025-09-21 01:17:34.409709
65,355,,social,研究简介位置新闻研究.,杨成给你发来了私信,app://page/social/886,,2025-06-28 06:26:47.409709,2025-06-28 06:26:47.409709,2025-06-29 02:52:47.409709,t,t,,2025-06-28 06:26:47.409709
66,471,,system,事情所以正在社区男人.,新功能上线,app://page/system/811,,2025-08-31 05:18:39.409709,2025-08-31 05:18:39.409709,,t,f,,2025-08-31 05:18:39.409709
67,364,15,promotion,发布成功以及可是内容.,限时特惠！6折起,app://page/promotion/883,,2025-06-13 01:37:54.409709,2025-06-13 01:37:54.409709,,t,f,,2025-06-13 01:37:54.409709
68,8,,system,只是以上设备怎么一起.,新功能上线,app://page/system/369,,2025-04-09 09:32:01.409709,2025-04-09 09:32:01.409709,,t,f,,2025-04-09 09:32:01.409709
69,160,,social,有些有限现在今天.,你的帖子收到了新评论,app://page/social/187,,2025-07-27 02:01:09.409709,2025-07-27 02:01:09.409709,,t,f,,2025-07-27 02:01:09.409709
70,425,,social,之间开始还有.,彭海燕给你发来了私信,app://page/social/219,,2025-08-08 17:40:14.409709,2025-08-08 17:40:14.409709,,t,f,,2025-08-08 17:40:14.409709
71,500,36,promotion,然后根据的话欢迎.,今日爆款，立省4元,app://page/promotion/673,,2025-09-19 03:53:02.409709,2025-09-19 03:53:02.409709,,t,f,,2025-09-19 03:53:02.409709
72,385,,reminder,时候联系经营.,会员即将到期，续费享优惠,app://page/reminder/561,,2025-12-31 06:44:21.409709,2025-12-31 06:44:21.409709,,t,f,,2025-12-31 06:44:21.409709
73,56,,social,手机阅读销售.,孟强给你发来了私信,app://page/social/561,,2025-09-04 23:54:53.409709,2025-09-04 23:54:53.409709,2025-09-06 13:50:53.409709,t,t,,2025-09-04 23:54:53.409709
74,137,,social,我的而且.,胡红关注了你,app://page/social/773,,2025-12-15 07:51:55.409709,,,f,f,,2025-12-15 07:51:55.409709
75,163,,social,服务威望今年.,周阳关注了你,app://page/social/790,,2025-02-02 01:51:24.409709,2025-02-02 01:51:24.409709,,t,f,,2025-02-02 01:51:24.409709
76,443,44,promotion,不能日本喜欢.,今日爆款，立省7元,app://page/promotion/598,,2025-06-27 20:23:04.409709,2025-06-27 20:23:04.409709,,t,f,,2025-06-27 20:23:04.409709
77,416,,order,活动会员对于系统.,订单即将送达,app://page/order/75,,2025-09-14 16:29:13.409709,2025-09-14 16:29:13.409709,2025-09-16 00:15:13.409709,t,t,,2025-09-14 16:29:13.409709
78,106,,reminder,这是进入.,购物车商品降价了,app://page/reminder/497,,2025-06-16 21:16:16.409709,2025-06-16 21:16:16.409709,,t,f,,2025-06-16 21:16:16.409709
79,194,,social,以及成功.,杨秀荣关注了你,app://page/social/88,,2025-04-14 12:36:58.409709,2025-04-14 12:36:58.409709,,t,f,,2025-04-14 12:36:58.409709
80,191,,order,那些准备觉得联系.,您的订单已发货,app://page/order/744,,2025-11-26 03:18:33.409709,2025-11-26 03:18:33.409709,,t,f,,2025-11-26 03:18:33.409709
81,239,,social,这里程序分析当前.,杨建军给你发来了私信,app://page/social/432,,2025-08-28 18:50:01.409709,2025-08-28 18:50:01.409709,,t,f,,2025-08-28 18:50:01.409709
82,462,,social,现在管理各种很多.,林桂香给你发来了私信,app://page/social/694,,2026-01-01 06:15:44.409709,2026-01-01 06:15:44.409709,,t,f,,2026-01-01 06:15:44.409709
83,124,,system,功能网上地区完全一下.,新功能上线,app://page/system/57,,2026-01-02 09:19:07.409709,2026-01-02 09:19:07.409709,,t,f,,2026-01-02 09:19:07.409709
84,434,,order,对于有关工作东西的是.,订单已完成，期待您的评价,app://page/order/940,,2025-09-01 10:13:20.409709,2025-09-01 10:13:20.409709,,t,f,,2025-09-01 10:13:20.409709
85,391,,order,有限位置其他游戏.,您的订单已发货,app://page/order/91,,2025-12-03 09:55:29.409709,2025-12-03 09:55:29.409709,,t,f,,2025-12-03 09:55:29.409709
86,359,,system,技术来自.,隐私政策更新,app://page/system/471,,2025-11-30 04:34:19.409709,2025-11-30 04:34:19.409709,,t,f,,2025-11-30 04:34:19.409709
87,273,,order,正在来自.,订单已完成，期待您的评价,app://page/order/287,,2025-12-08 05:33:23.409709,2025-12-08 05:33:23.409709,,t,f,,2025-12-08 05:33:23.409709
88,95,,reminder,免费男人决定.,收藏的商品即将售罄,app://page/reminder/180,,2025-02-16 15:19:34.409709,2025-02-16 15:19:34.409709,,t,f,,2025-02-16 15:19:34.409709
89,145,,system,商品一下之后自己生产.,隐私政策更新,app://page/system/466,,2026-01-08 07:58:05.409709,2026-01-08 07:58:05.409709,,t,f,,2026-01-08 07:58:05.409709
90,390,,system,情况参加.,系统维护通知,app://page/system/667,,2025-02-24 23:20:37.409709,2025-02-24 23:20:37.409709,,t,f,,2025-02-24 23:20:37.409709
91,455,46,promotion,组织应用孩子当然.,限时特惠！4折起,app://page/promotion/135,,2025-05-10 03:23:49.409709,2025-05-10 03:23:49.409709,,t,f,,2025-05-10 03:23:49.409709
92,474,,system,全国来源功能.,隐私政策更新,app://page/system/190,,2025-10-15 05:01:30.409709,2025-10-15 05:01:30.409709,,t,f,,2025-10-15 05:01:30.409709
93,342,26,promotion,处理比较.,专属福利，速来领取,app://page/promotion/526,,2025-04-01 12:23:16.409709,2025-04-01 12:23:16.409709,,t,f,,2025-04-01 12:23:16.409709
94,477,,order,当然什么之间进入.,您的订单已发货,app://page/order/933,,2025-04-21 05:48:30.409709,2025-04-21 05:48:30.409709,,t,f,,2025-04-21 05:48:30.409709
95,198,,social,作为过程开始.,陈秀华关注了你,app://page/social/659,,2025-10-12 08:26:04.409709,2025-10-12 08:26:04.409709,2025-10-12 10:48:04.409709,t,t,,2025-10-12 08:26:04.409709
96,429,,social,日期方面工程.,向璐给你发来了私信,app://page/social/855,,2025-06-11 01:50:22.409709,2025-06-11 01:50:22.409709,,t,f,,2025-06-11 01:50:22.409709
97,449,,social,等级大小.,李丹给你发来了私信,app://page/social/780,,2025-08-02 16:03:08.409709,2025-08-02 16:03:08.409709,,t,f,,2025-08-02 16:03:08.409709
98,131,,promotion,城市管理基本.,限时特惠！4折起,app://page/promotion/54,,2025-07-22 04:04:33.409709,2025-07-22 04:04:33.409709,,t,f,,2025-07-22 04:04:33.409709
99,211,,system,虽然销售.,隐私政策更新,app://page/system/818,,2025-03-16 18:26:19.409709,2025-03-16 18:26:19.409709,,t,f,,2025-03-16 18:26:19.409709
100,235,,reminder,规定一种认为市场.,会员即将到期，续费享优惠,app://page/reminder/744,,2025-12-18 00:16:10.409709,2025-12-18 00:16:10.409709,2025-12-19 01:03:10.409709,t,t,,2025-12-18 00:16:10.409709
101,35,,order,产品直接文章.,订单已完成，期待您的评价,app://page/order/719,,2025-05-17 23:59:06.409709,2025-05-17 23:59:06.409709,2025-05-18 17:39:06.409709,t,t,,2025-05-17 23:59:06.409709
102,81,,reminder,品牌表示.,收藏的商品即将售罄,app://page/reminder/72,,2025-08-10 16:47:40.409709,2025-08-10 16:47:40.409709,,t,f,,2025-08-10 16:47:40.409709
103,422,37,promotion,之间中心包括.,今日爆款，立省5元,app://page/promotion/162,,2025-05-03 23:38:17.409709,2025-05-03 23:38:17.409709,2025-05-05 22:03:17.409709,t,t,,2025-05-03 23:38:17.409709
104,143,,system,介绍虽然发表学校.,新功能上线,app://page/system/907,,2025-08-12 20:50:10.409709,2025-08-12 20:50:10.409709,2025-08-13 16:17:10.409709,t,t,,2025-08-12 20:50:10.409709
105,399,,reminder,地区操作比较设备经验.,购物车商品降价了,app://page/reminder/948,,2025-08-21 05:24:23.409709,2025-08-21 05:24:23.409709,,t,f,,2025-08-21 05:24:23.409709
106,382,,order,中国法律或者法律.,订单已完成，期待您的评价,app://page/order/857,,2025-11-18 15:17:09.409709,2025-11-18 15:17:09.409709,,t,f,,2025-11-18 15:17:09.409709
107,10,19,promotion,原因作品.,专属福利，速来领取,app://page/promotion/334,,2025-12-01 12:50:54.409709,2025-12-01 12:50:54.409709,,t,f,,2025-12-01 12:50:54.409709
108,121,,social,进行国家销售科技.,李玉英关注了你,app://page/social/254,,2025-03-02 11:47:17.409709,2025-03-02 11:47:17.409709,,t,f,,2025-03-02 11:47:17.409709
109,409,,system,地方点击联系网上也是.,系统维护通知,app://page/system/309,,2025-01-28 08:43:06.409709,2025-01-28 08:43:06.409709,,t,f,,2025-01-28 08:43:06.409709
110,417,30,promotion,项目一般.,专属福利，速来领取,app://page/promotion/185,,2025-11-30 19:16:22.409709,2025-11-30 19:16:22.409709,,t,f,,2025-11-30 19:16:22.409709
111,267,,order,方面帮助加入国际.,订单即将送达,app://page/order/970,,2025-02-18 03:54:32.409709,2025-02-18 03:54:32.409709,,t,f,,2025-02-18 03:54:32.409709
112,485,,reminder,北京介绍汽车规定.,收藏的商品即将售罄,app://page/reminder/41,,2025-10-26 09:41:45.409709,2025-10-26 09:41:45.409709,,t,f,,2025-10-26 09:41:45.409709
113,71,,promotion,工具信息一定.,限时特惠！8折起,app://page/promotion/140,,2025-09-10 17:13:57.409709,2025-09-10 17:13:57.409709,,t,f,,2025-09-10 17:13:57.409709
114,273,,reminder,责任处理他的设备可以.,会员即将到期，续费享优惠,app://page/reminder/977,,2025-11-08 13:47:06.409709,2025-11-08 13:47:06.409709,,t,f,,2025-11-08 13:47:06.409709
115,473,,system,我的这样.,新功能上线,app://page/system/652,,2025-02-18 04:05:03.409709,2025-02-18 04:05:03.409709,,t,f,,2025-02-18 04:05:03.409709
116,330,,order,而且次数.,订单已完成，期待您的评价,app://page/order/348,,2025-09-05 11:19:11.409709,2025-09-05 11:19:11.409709,,t,f,,2025-09-05 11:19:11.409709
117,194,,system,以及看到浏览.,隐私政策更新,app://page/system/526,,2025-12-28 21:02:05.409709,2025-12-28 21:02:05.409709,,t,f,,2025-12-28 21:02:05.409709
118,461,,reminder,所有文章最后.,收藏的商品即将售罄,app://page/reminder/36,,2025-10-03 03:26:29.409709,2025-10-03 03:26:29.409709,,t,f,,2025-10-03 03:26:29.409709
119,81,,order,加入中文支持准备.,订单已完成，期待您的评价,app://page/order/566,,2025-03-30 07:52:47.409709,2025-03-30 07:52:47.409709,,t,f,,2025-03-30 07:52:47.409709
120,409,,social,通过以下.,你的帖子收到了新评论,app://page/social/136,,2025-12-30 22:38:03.409709,2025-12-30 22:38:03.409709,,t,f,,2025-12-30 22:38:03.409709
121,190,,order,时候中心.,订单即将送达,app://page/order/625,,2025-09-19 11:13:46.409709,2025-09-19 11:13:46.409709,,t,f,,2025-09-19 11:13:46.409709
122,437,,order,的人我们应用怎么企业.,您的订单已发货,app://page/order/716,,2025-05-18 19:41:42.409709,,,f,f,,2025-05-18 19:41:42.409709
123,170,,system,中国程序同时.,隐私政策更新,app://page/system/249,,2025-08-04 14:39:10.409709,2025-08-04 14:39:10.409709,2025-08-05 14:09:10.409709,t,t,,2025-08-04 14:39:10.409709
124,399,,social,以下音乐在线搜索自己.,陆桂芳关注了你,app://page/social/195,,2026-01-12 21:47:23.409709,2026-01-12 21:47:23.409709,,t,f,,2026-01-12 21:47:23.409709
125,161,,system,什么销售进行组织.,隐私政策更新,app://page/system/699,,2025-09-27 23:21:39.409709,2025-09-27 23:21:39.409709,2025-09-28 05:51:39.409709,t,t,,2025-09-27 23:21:39.409709
126,40,,social,地方论坛需要一切.,你的帖子收到了新评论,app://page/social/396,,2025-02-04 00:25:12.409709,2025-02-04 00:25:12.409709,,t,f,,2025-02-04 00:25:12.409709
127,88,,social,时间游戏选择得到.,罗建华关注了你,app://page/social/280,,2025-05-09 21:18:07.409709,,,f,f,,2025-05-09 21:18:07.409709
128,114,,reminder,发展广告.,购物车商品降价了,app://page/reminder/822,,2025-05-15 00:54:32.409709,2025-05-15 00:54:32.409709,,t,f,,2025-05-15 00:54:32.409709
129,388,,system,有关功能可以.,新功能上线,app://page/system/347,,2025-04-05 23:43:32.409709,2025-04-05 23:43:32.409709,,t,f,,2025-04-05 23:43:32.409709
130,353,21,promotion,就是这个软件还是作者.,限时特惠！3折起,app://page/promotion/678,,2025-09-05 07:48:05.409709,2025-09-05 07:48:05.409709,,t,f,,2025-09-05 07:48:05.409709
131,105,,social,主要需要如此.,你的帖子收到了新评论,app://page/social/534,,2025-07-02 09:19:17.409709,2025-07-02 09:19:17.409709,,t,f,,2025-07-02 09:19:17.409709
132,376,,reminder,出来那些都是.,会员即将到期，续费享优惠,app://page/reminder/203,,2025-09-01 04:43:39.409709,2025-09-01 04:43:39.409709,,t,f,,2025-09-01 04:43:39.409709
133,298,,reminder,记者一样那些联系.,购物车商品降价了,app://page/reminder/933,,2025-11-30 05:53:59.409709,2025-11-30 05:53:59.409709,,t,f,,2025-11-30 05:53:59.409709
134,62,,social,孩子主要论坛.,你的帖子收到了新评论,app://page/social/534,,2025-07-26 20:46:53.409709,2025-07-26 20:46:53.409709,,t,f,,2025-07-26 20:46:53.409709
135,305,,social,上海人员说明应该.,钱红给你发来了私信,app://page/social/497,,2025-09-04 01:54:53.409709,2025-09-04 01:54:53.409709,,t,f,,2025-09-04 01:54:53.409709
136,199,6,promotion,起来由于全国是否教育.,今日爆款，立省3元,app://page/promotion/844,,2025-05-23 04:30:56.409709,2025-05-23 04:30:56.409709,,t,f,,2025-05-23 04:30:56.409709
137,209,,order,注册也是能力最后.,您的订单已发货,app://page/order/600,,2025-10-30 21:10:03.409709,2025-10-30 21:10:03.409709,,t,f,,2025-10-30 21:10:03.409709
138,274,,system,位置全部.,系统维护通知,app://page/system/842,,2026-01-15 08:55:33.409709,2026-01-15 08:55:33.409709,,t,f,,2026-01-15 08:55:33.409709
139,458,,promotion,世界免费技术.,今日爆款，立省7元,app://page/promotion/391,,2025-06-03 04:07:06.409709,2025-06-03 04:07:06.409709,,t,f,,2025-06-03 04:07:06.409709
140,151,,system,政府加入一定安全汽车.,系统维护通知,app://page/system/156,,2025-09-29 01:02:10.409709,2025-09-29 01:02:10.409709,,t,f,,2025-09-29 01:02:10.409709
141,359,,order,各种成功质量什么.,订单已完成，期待您的评价,app://page/order/980,,2025-08-06 11:01:28.409709,2025-08-06 11:01:28.409709,,t,f,,2025-08-06 11:01:28.409709
142,187,,reminder,大家一点发生网上.,购物车商品降价了,app://page/reminder/100,,2025-02-24 17:32:04.409709,2025-02-24 17:32:04.409709,,t,f,,2025-02-24 17:32:04.409709
143,277,,order,类别所以部门活动我的.,您的订单已发货,app://page/order/472,,2025-05-11 21:39:23.409709,2025-05-11 21:39:23.409709,2025-05-13 03:13:23.409709,t,t,,2025-05-11 21:39:23.409709
144,308,,system,系统影响搜索.,系统维护通知,app://page/system/259,,2025-08-24 08:01:08.409709,2025-08-24 08:01:08.409709,,t,f,,2025-08-24 08:01:08.409709
145,168,,reminder,国内作品业务什么.,收藏的商品即将售罄,app://page/reminder/618,,2025-09-01 00:49:37.409709,2025-09-01 00:49:37.409709,,t,f,,2025-09-01 00:49:37.409709
146,10,,system,学习为了.,系统维护通知,app://page/system/24,,2025-12-26 02:28:28.409709,2025-12-26 02:28:28.409709,,t,f,,2025-12-26 02:28:28.409709
147,242,,order,决定价格我的浏览.,订单即将送达,app://page/order/13,,2025-08-30 12:21:38.409709,2025-08-30 12:21:38.409709,,t,f,,2025-08-30 12:21:38.409709
148,121,,order,设备留言一种.,您的订单已发货,app://page/order/755,,2025-08-04 13:35:33.409709,2025-08-04 13:35:33.409709,,t,f,,2025-08-04 13:35:33.409709
149,105,,reminder,环境大学我的说明开发.,会员即将到期，续费享优惠,app://page/reminder/614,,2025-08-23 05:45:33.409709,2025-08-23 05:45:33.409709,,t,f,,2025-08-23 05:45:33.409709
150,339,,reminder,会员准备.,收藏的商品即将售罄,app://page/reminder/955,,2025-08-05 18:14:57.409709,2025-08-05 18:14:57.409709,,t,f,,2025-08-05 18:14:57.409709
