device_id,user_id,device_type,os_version,device_model,device_brand,app_version,push_token,is_primary,first_seen_at,last_seen_at,created_at
D00000018_1,18,android,Android 12,Find X7 Ultra,OPPO,5.4.20,8ebb7c3fbd8ea46f9820f81bfdf2ada56da8a54b237da185a7115edbcd7d3e75,t,,,2026-01-25 02:16:11.534152
D00000019_1,19,web,Windows 11,Edge,Browser,5.3.17,,t,,,2026-01-25 02:16:11.534152
D00000020_1,20,web,Windows 11,Safari,Browser,3.9.14,,t,,,2026-01-25 02:16:11.534152
D00000021_1,21,ios,iOS 16.5,iPhone 14 Pro,Apple,4.4.3,19f158a8dd0a774afc830d5db3b686ef4d364ac6b2724d429847355aad6bf03a,t,,,2026-01-25 02:16:11.534152
D00000021_2,21,web,macOS 14,Safari,Browser,5.7.13,,f,,,2026-01-25 02:16:11.534152
D00000022_1,22,ios,iOS 17.1,iPhone 14 Pro,Apple,3.8.4,7bf1471e9f7c9cbfddf2aed80302ad0bfb0057a4cc5c0139f3885e7145a7058d,t,,,2026-01-25 02:16:11.534152
D00000023_1,23,web,Ubuntu 22.04,Firefox,Browser,5.1.9,,t,,,2026-01-25 02:16:11.534152
D00000024_1,24,android,Android 12,Galaxy A54,三星,3.7.18,7a90ab9f9cb3129285e0462a87d9c8181d14279298abecd0df8960346e7667e2,t,,,2026-01-25 02:16:11.534152
D00000024_2,24,ios,iOS 16.5,iPhone 13,Apple,4.7.6,4a056bb3989b8d74e118f9bca46342c9a0a66ab3bec6647241596c585f9d7709,f,,,2026-01-25 02:16:11.534152
D00000025_1,25,ios,iOS 16.5,iPhone 14,Apple,3.9.10,0125cfbf6c1d4be9a307033f5a83cce5319320dc84f3ecc16f627fbdff64a2ee,t,,,2026-01-25 02:16:11.534152
D00000026_1,26,ios,iOS 17.2,iPhone 15,Apple,5.5.19,f785a7423de07ffd6187f78991234bad5263330d2c5382c2160be850482613d4,t,,,2026-01-25 02:16:11.534152
D00000026_2,26,web,macOS 14,Firefox,Browser,5.3.20,,f,,,2026-01-25 02:16:11.534152
D00000027_1,27,android,Android 12,GT5 Pro,realme,3.0.13,79dc37bca9c22628c26beb91db8e5f9686efa27dcc4c5e5310ef25c2ff62c020,t,,,2026-01-25 02:16:11.534152
D00000028_1,28,android,Android 14,Redmi Note 13,小米,5.1.12,c9b7a532c458bef91431190fc120378eb44c42dcb4b784d7cdfdd8aa521ed312,t,,,2026-01-25 02:16:11.534152
D00000028_2,28,mini_program,WeChat 8.0,Mini Program,WeChat,5.9.14,,f,,,2026-01-25 02:16:11.534152
D00000029_1,29,ios,iOS 16.5,iPhone 15 Pro Max,Apple,4.6.8,47d8d987f57993027b2d7437746f91ff554263d370683864d97f20ac4c9c741d,t,,,2026-01-25 02:16:11.534152
D00000030_1,30,android,Android 12,12 Pro,一加,4.4.17,ecd360ba49037bf85af617d5ad803d04c871e665d579e91ec38ee5243eef8fae,t,,,2026-01-25 02:16:11.534152
D00000031_1,31,android,Android 14,Galaxy A54,三星,3.3.10,d36ed2b4942a4a6c103df1940c5ae3301685b9c642724b5b0f732f4f16815653,t,,,2026-01-25 02:16:11.534152
D00000031_2,31,android,Android 13,Galaxy S23,三星,4.3.11,b064338a1166bb6ae1db5aae3e231f21f15b3af47997429476fab94b60ddac04,f,,,2026-01-25 02:16:11.534152
D00000032_1,32,android,Android 14,真我 GT Neo5,realme,3.2.13,197dae136e227931b4a9aa1a782263845da0c6abf04adb73014469e70191fe3d,t,,,2026-01-25 02:16:11.534152
D00000033_1,33,android,Android 14,P60 Pro,华为,5.2.7,65c725e16a1b506413b44ea25855381a82c631ea7afb38bce31b7e36418d10b5,t,,,2026-01-25 02:16:11.534152
D00000034_1,34,android,Android 12,14 Pro,小米,5.7.9,17946162b09154d17b5909b799858a3ea5922e1f2fcad8c3e02e9e3624320e68,t,,,2026-01-25 02:16:11.534152
D00000034_2,34,android,Android 12,Mate 60 Pro,华为,3.1.19,0af844cdd022337f5168ff609efd387794bf641791e4ceb811c6f1ab0535d546,f,,,2026-01-25 02:16:11.534152
D00000035_1,35,android,Android 12,Nord CE,一加,4.4.16,d2e32e31d50e9edbccf5c707181626dabcdf9153d52ec548aee87ba7547c209d,t,,,2026-01-25 02:16:11.534152
D00000035_2,35,ios,iOS 17.2,iPhone 15 Pro,Apple,5.9.9,b09bfb36f8ccf5711a83a30ba444c7a1ccfc0974e4b769708b38d4e41ed8b17a,f,,,2026-01-25 02:16:11.534152
D00000036_1,36,android,Android 14,Mate 50,华为,3.3.2,aa975724f7d19f000a96b1c2ef36977cb0afde12ed971c67c077d10514d18d98,t,,,2026-01-25 02:16:11.534152
D00000037_1,37,android,Android 12,12 Pro,一加,4.1.19,23b682ce9408360dbf7c5c5d1854d1810890ce1d53262da1595dcd731877900d,t,,,2026-01-25 02:16:11.534152
D00000037_2,37,android,Android 12,Galaxy S24 Ultra,三星,5.7.14,25003022b133da64dd059a99901363b0254c30d2f6d398e9b42af40c944ad5c7,f,,,2026-01-25 02:16:11.534152
D00000038_1,38,android,Android 14,90 GT,荣耀,4.3.17,c1750f794cfd4331404689b4e3bfbf535a28bd6727abf160ef0500b0e2ccee53,t,,,2026-01-25 02:16:11.534152
D00000039_1,39,android,Android 13,X100 Pro,vivo,4.1.0,53c8ff89b05ef05aae10b6e095e5301d8da967cbfd3feb10efe4ae69ae6d2c0a,t,,,2026-01-25 02:16:11.534152
D00000040_1,40,android,Android 12,Redmi Note 13,小米,5.9.16,f3809546aecf13ff7273cb26a592ce936f99f9efd0ad81c69ce5144676ebd3c6,t,,,2026-01-25 02:16:11.534152
D00000041_1,41,android,Android 14,Redmi Note 13,小米,5.2.4,50c29bfbd4206667561cf4216a9c1cb1646656ed21f3b2f75aeffbc79c94b55b,t,,,2026-01-25 02:16:11.534152
D00000041_2,41,ios,iOS 17.2,iPhone 13,Apple,3.4.11,9e6926e869ecbd12dd7af5061d2fbde13509a921adc8bdacf71bac392b099571,f,,,2026-01-25 02:16:11.534152
D00000042_1,42,android,Android 14,GT5 Pro,realme,4.4.19,f8e48def63b1a45a75f68690acae503af7fe2b958da72dde9b56842e96e6120d,t,,,2026-01-25 02:16:11.534152
D00000043_1,43,ios,iOS 17.2,iPhone 15 Pro,Apple,4.7.10,eb98e4c824e96b18d00371093a0efbfaae254a66cf9f2d4e25a95715f1efaa62,t,,,2026-01-25 02:16:11.534152
D00000043_2,43,ios,iOS 17.1,iPhone 15 Pro Max,Apple,5.7.10,84381a79a80d6b86b0f23afa25959257011e1a15f68a4036f838346236c0da99,f,,,2026-01-25 02:16:11.534152
D00000044_1,44,android,Android 12,Redmi K70,小米,5.6.13,fe924a2084aede92bb11009d3c7a10d976e118fc3f9aa2baee5857336e640361,t,,,2026-01-25 02:16:11.534152
D00000045_1,45,ios,iOS 17.0,iPhone 15 Pro Max,Apple,3.0.10,31b532d133caedf0ce3e6eb722c5c9047ccfdc364e0b8b2bd059cc9db768c858,t,,,2026-01-25 02:16:11.534152
D00000046_1,46,android,Android 13,13 Ultra,小米,4.7.18,7f6229aea8812bcd51ea986ff37edcd39ce85420a6847b6c55db0c8b0804230e,t,,,2026-01-25 02:16:11.534152
D00000046_2,46,ios,iOS 16.5,iPhone 14 Pro,Apple,3.9.3,6e8b0dcea3a25597f76ff5561c376b5e53caeb1b9ad5869e860139e72c36f4ca,f,,,2026-01-25 02:16:11.534152
D00000047_1,47,android,Android 12,Ace 3,一加,5.4.2,059e596b569893b14c42d88344060fe3bcc20fb761f4ea64198b7cf9edc2895a,t,,,2026-01-25 02:16:11.534152
D00000047_2,47,ios,iOS 17.2,iPhone 15 Pro,Apple,3.1.15,a19fffc56d7a9af93cade712be89d34f4ea1fc16d04f00c60abd28375154aae7,f,,,2026-01-25 02:16:11.534152
D00000048_1,48,android,Android 12,Galaxy S23,三星,5.8.16,ad8fb83221d8a0b46e1213aefb843099f021ef8c5a0d98621c565cb47e1c80bb,t,,,2026-01-25 02:16:11.534152
D00000048_2,48,mini_program,WeChat 8.0,Mini Program,WeChat,4.1.20,,f,,,2026-01-25 02:16:11.534152
D00000049_1,49,android,Android 14,P60 Pro,华为,3.2.17,7a1111e8436c8cc74d3d9979227cb6af33cfc14fb3dfa19be3357b36cc382f32,t,,,2026-01-25 02:16:11.534152
D00000049_2,49,android,Android 12,Galaxy A54,三星,3.5.11,f5361b5b8b5860e9e29effbab45769a588bb2435c13be57b47d688f8b460f937,f,,,2026-01-25 02:16:11.534152
D00000050_1,50,ios,iOS 17.2,iPhone SE,Apple,3.4.10,4d8902b960e90cf37d68a457d47394d836b392695ac89bc285c4cd04e2d064ba,t,,,2026-01-25 02:16:11.534152
D00000051_1,51,mini_program,WeChat 8.0,Mini Program,WeChat,5.6.10,,t,,,2026-01-25 02:16:11.534152
D00000052_1,52,android,Android 14,A2 Pro,OPPO,3.4.10,8c73c4b12eb8e32d85ae8417f3f56c984ffe341e8dfe6b17cdac08246ef8374d,t,,,2026-01-25 02:16:11.534152
D00000053_1,53,ios,iOS 17.0,iPhone 15 Pro Max,Apple,5.0.5,8062feb1b8e6b3e078f8a1ef8f63365d00ce9b505ef02522312850f3ff71f729,t,,,2026-01-25 02:16:11.534152
D00000053_2,53,ios,iOS 17.2,iPhone 15 Pro,Apple,4.7.7,97e684deb06bc1c9481e514ba486d53efc73e16f3c4ae588adc6d2e9181e539d,f,,,2026-01-25 02:16:11.534152
D00000054_1,54,ios,iOS 17.2,iPhone SE,Apple,5.8.20,28c87fde8672b8a6375d8f28f1afca25a87ec9bdbe33e9c8c5fa069db9be2947,t,,,2026-01-25 02:16:11.534152
D00000055_1,55,android,Android 12,GT5 Pro,realme,5.3.12,67b7ac408a121949e0bd2c4e51e94995b2d567f4b336616034926374f968bf29,t,,,2026-01-25 02:16:11.534152
D00000055_2,55,ios,iOS 17.1,iPhone 13,Apple,4.0.1,f375a538896767e752c75e0bc1028cbb59b1459bd7b2d9b5c220f00ef1a07057,f,,,2026-01-25 02:16:11.534152
D00000056_1,56,android,Android 14,Find X7 Ultra,OPPO,4.8.4,414b1fb8aa418795463b339d643d5f97939e540054306c2a88239e56ceaba532,t,,,2026-01-25 02:16:11.534152
D00000056_2,56,ios,iOS 16.0,iPhone 15,Apple,5.0.11,90e7eca5fb93a3229b6dc4a99494bde3d6c63e52de398ab5cfea76a938f33e57,f,,,2026-01-25 02:16:11.534152
D00000057_1,57,android,Android 12,Nord CE,一加,4.5.9,e948d50d6f04e9d86186c52e771e10ddb1a44fda98139bc525a75ee728de097d,t,,,2026-01-25 02:16:11.534152
D00000057_2,57,ios,iOS 17.1,iPhone SE,Apple,5.5.1,86b3ba65aec94eba1c8cb434884435036bba06430a20d64671fbc1a3dff53cc0,f,,,2026-01-25 02:16:11.534152
D00000057_3,57,android,Android 13,Magic 6 Pro,荣耀,4.7.13,7952985d796bf1e9a52cd47fab06dd1b6b0f3c9d261e6a4587a50d36601d6725,f,,,2026-01-25 02:16:11.534152
D00000058_1,58,ios,iOS 17.1,iPhone 15,Apple,5.2.5,ff497ccd26a774dce0330614f1415d4b6acc90b452a7cd391fdde854c1c25334,t,,,2026-01-25 02:16:11.534152
D00000059_1,59,android,Android 12,Galaxy S24 Ultra,三星,5.2.18,f152051026c302ee6f8f3af3284d8d046e04cbd88e624d57fcbe87d7968d2766,t,,,2026-01-25 02:16:11.534152
D00000059_2,59,android,Android 12,GT5 Pro,realme,4.2.16,2b295a50563ae0b93dad83eb77550e75fc61601a75d161e9703d10d73fd80462,f,,,2026-01-25 02:16:11.534152
D00000060_1,60,android,Android 13,13 Ultra,小米,3.7.0,53d4626178c78804f90e76950e125d8369e4e420ad118e511d952ab36043423a,t,,,2026-01-25 02:16:11.534152
D00000061_1,61,android,Android 13,X100 Pro,vivo,4.7.15,2fcd551119f70205ca6e1e0688670e30b2b7cbb1647ee850cc5210bf99de97a3,t,,,2026-01-25 02:16:11.534152
D00000061_2,61,web,Windows 11,Safari,Browser,5.9.9,,f,,,2026-01-25 02:16:11.534152
D00000062_1,62,web,Ubuntu 22.04,Edge,Browser,5.0.19,,t,,,2026-01-25 02:16:11.534152
D00000063_1,63,mini_program,WeChat 8.0,Mini Program,WeChat,4.4.9,,t,,,2026-01-25 02:16:11.534152
D00000063_2,63,android,Android 14,Y100,vivo,4.8.14,5fa8f25816d3b1dfbf7a4b29e3bc698e145515f2f2972010b21be7dea9859d12,f,,,2026-01-25 02:16:11.534152
D00000063_3,63,android,Android 14,真我 GT Neo5,realme,5.2.10,f52ea0327dee9fa70ee1266ca42c4452e85c6dd76e4eb52df05900a4f8f0a023,f,,,2026-01-25 02:16:11.534152
D00000064_1,64,mini_program,WeChat 8.0,Mini Program,WeChat,4.7.18,,t,,,2026-01-25 02:16:11.534152
D00000065_1,65,mini_program,WeChat 8.0,Mini Program,WeChat,3.0.1,,t,,,2026-01-25 02:16:11.534152
D00000065_2,65,ios,iOS 17.0,iPhone 13,Apple,3.3.10,f28f63fc2a7b30e11076144f0562ec476a3d03e99560a712391ef93911f39bf7,f,,,2026-01-25 02:16:11.534152
D00000066_1,66,android,Android 12,Ace 3,一加,4.9.3,d3fd9bc7553d789bed5ff7b8a51c0b32d41ef6055b56fcd9d867fe2be37e48f7,t,,,2026-01-25 02:16:11.534152
D00000066_2,66,android,Android 14,Mate 50,华为,5.4.4,5220a29889858c25683be9ed83d67bafc5bd257c33fc3f20abfac1087252ea25,f,,,2026-01-25 02:16:11.534152
D00000067_1,67,ios,iOS 16.0,iPhone 15,Apple,3.8.17,8dd349a429496ee3fe97986c97640f9576451689e403eb80de212dad72e88ce9,t,,,2026-01-25 02:16:11.534152
D00000068_1,68,android,Android 14,13 Ultra,小米,3.5.7,3b911258a18748eedf34ebcfba5548776cc25c297cb3b199051199381f95e8d9,t,,,2026-01-25 02:16:11.534152
D00000069_1,69,android,Android 12,Reno 11 Pro,OPPO,4.1.13,74f24e4b393977b873a58f8859902361c3120e90f098d30e119657d9ccc82042,t,,,2026-01-25 02:16:11.534152
D00000070_1,70,android,Android 14,Reno 11 Pro,OPPO,4.2.10,6ad1bfb7f88b2874c453537cf2225aff58da96e832e73a3f0264e626a4b02d7f,t,,,2026-01-25 02:16:11.534152
D00000070_2,70,ios,iOS 17.1,iPhone 15 Pro Max,Apple,3.1.14,ee085fb1ca0251ec4a83d515a35cb7beed08573751f4a2a8e64292984747c12c,f,,,2026-01-25 02:16:11.534152
D00000070_3,70,ios,iOS 17.0,iPhone 14,Apple,5.4.9,a72344f09eef58cc132a62d0341bc0fd7e8a4454ecddc8602cff5f6cc5d323b7,f,,,2026-01-25 02:16:11.534152
D00000071_1,71,ios,iOS 17.2,iPhone 15 Pro,Apple,3.0.3,4eef5c183ffe39d8aa70c371982233d1d6109e9867990065ca72acdcbe12512a,t,,,2026-01-25 02:16:11.534152
D00000071_2,71,ios,iOS 16.0,iPhone 14 Pro,Apple,4.1.20,f85dc62201fe1538c09b94111ff1e46e3d261e82f553a0cf8f60049aa0888240,f,,,2026-01-25 02:16:11.534152
D00000072_1,72,ios,iOS 17.1,iPhone 15 Pro,Apple,3.6.5,8c7cf5fed8e007a374090ad0e3380c84625b19b26012d8d671a34f7e75a45bda,t,,,2026-01-25 02:16:11.534152
D00000073_1,73,android,Android 13,Galaxy S23,三星,3.8.12,4fa03e3cac4a35965a8c32bbabe4d24ce8f00e20defd42eba2b104d5850de913,t,,,2026-01-25 02:16:11.534152
D00000073_2,73,android,Android 14,Redmi K70,小米,5.4.4,dcf82339c31805c1759611fdb80106763b5dcb14442214efe4f521d3cd543bea,f,,,2026-01-25 02:16:11.534152
D00000074_1,74,mini_program,WeChat 8.0,Mini Program,WeChat,4.5.10,,t,,,2026-01-25 02:16:11.534152
D00000075_1,75,ios,iOS 17.2,iPhone SE,Apple,5.7.17,da28332391c06d0a80954daa739d4b203a2ec0888d001305f303854e3df400e2,t,,,2026-01-25 02:16:11.534152
D00000076_1,76,web,macOS 14,Edge,Browser,3.5.19,,t,,,2026-01-25 02:16:11.534152
D00000076_2,76,android,Android 12,S18 Pro,vivo,5.0.5,f30036180bd379b413d5a0db3d247d2f82e33b9019be3904fd35bd07d502ade7,f,,,2026-01-25 02:16:11.534152
D00000077_1,77,ios,iOS 17.0,iPhone 14,Apple,5.4.18,a9e76691e107ebc8cc20165b39f1b2454c3b39f82cf486f9449bfc16c7cd2ee8,t,,,2026-01-25 02:16:11.534152
D00000078_1,78,ios,iOS 16.0,iPhone 13,Apple,5.2.1,e55a01b3f444d16d9283bc0900d5e48a6b7d95362cc2f5168ab5cfefbac755cc,t,,,2026-01-25 02:16:11.534152
D00000078_2,78,android,Android 14,Y100,vivo,5.2.2,e7d5792133a002e782df4695ca1ae27a036d9aa3b2b51be597a793bf704756aa,f,,,2026-01-25 02:16:11.534152
D00000078_3,78,ios,iOS 16.0,iPhone 15 Pro,Apple,4.0.10,e7f298ab27c0da734f8018207365aa5938657e5bf4b3c1a282f5e6819c6320fc,f,,,2026-01-25 02:16:11.534152
D00000079_1,79,android,Android 13,S18 Pro,vivo,5.0.8,82edcab57372e4bd7c1e723619e1ab9492bd12092aa2180277fe4332436152d9,t,,,2026-01-25 02:16:11.534152
D00000080_1,80,android,Android 12,90 GT,荣耀,5.3.19,68d164ffbdf2fd6fc06c1a470dbc19672196010082a868795a4d53ad4a732091,t,,,2026-01-25 02:16:11.534152
D00000081_1,81,ios,iOS 17.0,iPhone SE,Apple,4.6.3,c14e622f4f0b4893c9a38961c07429d08f842b26704e314d2384c1df49c09e54,t,,,2026-01-25 02:16:11.534152
D00000081_2,81,ios,iOS 17.1,iPhone 15 Pro,Apple,3.5.6,2c3df8f0901d654e664816e17cdd89899fedef979707d8a60a38a59eb353e1b4,f,,,2026-01-25 02:16:11.534152
D00000081_3,81,android,Android 13,Redmi Note 13,小米,5.0.11,794b242d721000133d6b6b95bd9cf9195fcadd17740eb1021572a1f8c041352a,f,,,2026-01-25 02:16:11.534152
D00000082_1,82,android,Android 13,Nord CE,一加,4.9.2,b180f6dbd018d531147786c77e7695b6dded67a43ebb387ce19d48b3da878f07,t,,,2026-01-25 02:16:11.534152
D00000083_1,83,android,Android 12,真我 GT Neo5,realme,5.0.15,316260357ed76d799c4a85c64436f97ff85bf0c8aee4aa3327937c9a44a6fae9,t,,,2026-01-25 02:16:11.534152
D00000084_1,84,web,Ubuntu 22.04,Safari,Browser,4.0.0,,t,,,2026-01-25 02:16:11.534152
D00000085_1,85,ios,iOS 17.2,iPhone SE,Apple,5.2.20,91e0c14eefd87688b535103c4da8260393b1264ac038eb9e18b1c5076af10abf,t,,,2026-01-25 02:16:11.534152
D00000086_1,86,ios,iOS 17.0,iPhone 13,Apple,5.3.17,53e1b156b26c754726e5205c0ea12f7e719ba30a17c057dffa7f72bbbb789e8a,t,,,2026-01-25 02:16:11.534152
D00000087_1,87,android,Android 14,nova 11,华为,5.0.5,7e363c1dc5515092d84daf8cbcba607e67bffafe143866ac2bb8d6a8249c4425,t,,,2026-01-25 02:16:11.534152
D00000088_1,88,android,Android 13,Nord CE,一加,4.1.5,498e2d8140f76baca1604c03d1a6b051f135f94e9faffb5ae5f48842d3e63fe2,t,,,2026-01-25 02:16:11.534152
D00000089_1,89,android,Android 12,Galaxy S24 Ultra,三星,3.4.13,a0343f69cdf555b487cc75276235dd67ab2d2c7b070b56df8f6934e06485fdc6,t,,,2026-01-25 02:16:11.534152
D00000090_1,90,ios,iOS 16.5,iPhone SE,Apple,5.5.13,80125864c769f0954d47090c06c141216c11926bf9524fcdb85cd95e896e2b64,t,,,2026-01-25 02:16:11.534152
D00000091_1,91,ios,iOS 16.0,iPhone 14 Pro,Apple,4.0.2,7d492f8565bd77318dca23df28d272dc125e796c25741beb8695e5f70c87b3dd,t,,,2026-01-25 02:16:11.534152
D00000091_2,91,ios,iOS 17.0,iPhone 14,Apple,4.7.18,c6e305a3b7095acafd0a961a1100cd68bf68efa5aa3d2084e8af0bc80f85e7b5,f,,,2026-01-25 02:16:11.534152
D00000092_1,92,web,Ubuntu 22.04,Firefox,Browser,3.9.18,,t,,,2026-01-25 02:16:11.534152
D00000093_1,93,android,Android 14,nova 11,华为,3.0.18,39de2c6c04dd5c6b7559b65615d2240fefd5f56a07abc6a654158685ae2ffa02,t,,,2026-01-25 02:16:11.534152
D00000093_2,93,ios,iOS 16.0,iPhone 15,Apple,5.6.19,e302b79a75e9710f20fe89cff19c2286b0252ac8e8162f339f56a3116a78c618,f,,,2026-01-25 02:16:11.534152
D00000094_1,94,mini_program,WeChat 8.0,Mini Program,WeChat,5.2.6,,t,,,2026-01-25 02:16:11.534152
D00000094_2,94,android,Android 12,X50,荣耀,4.6.4,9a405a174c216df7289c294d2230d5222c0b7d9b6f7cf1f752a44cdc1dce8fd9,f,,,2026-01-25 02:16:11.534152
D00000094_3,94,android,Android 13,Magic 6 Pro,荣耀,5.7.9,9612673e81e50ff8d7caa9bdc0fe58d95e4433d19389f9988c44c07b54784346,f,,,2026-01-25 02:16:11.534152
D00000095_1,95,android,Android 13,90 GT,荣耀,5.1.18,8c8b1aac67cbb569da9e6042626a78510bacfe5ae80be0429be7adc09c16f73a,t,,,2026-01-25 02:16:11.534152
D00000095_2,95,ios,iOS 17.1,iPhone 13,Apple,3.7.7,c4f0250a17f1d1c0eb0e3f0d0e90eb7adf92c6651ccde3cbf34288c97eaa969e,f,,,2026-01-25 02:16:11.534152
D00000096_1,96,android,Android 14,GT5 Pro,realme,3.4.4,221356491746203cb305d390ea47dccaab3b304f1a76b9d860655b3ba1a94def,t,,,2026-01-25 02:16:11.534152
D00000096_2,96,ios,iOS 16.0,iPhone 14 Pro,Apple,3.4.15,4030853f0a1311123ed458e4c6d64bbd4fa8126d57c63968e897fb6cfb796faf,f,,,2026-01-25 02:16:11.534152
D00000097_1,97,android,Android 14,Redmi Note 13,小米,3.4.6,fcae05ec5db0d7156fbd21e749dbd74e3cd9a55af2222c9c3dd69afdaf673749,t,,,2026-01-25 02:16:11.534152
D00000097_2,97,android,Android 13,S18 Pro,vivo,3.7.2,78a73d7b3cfba59c0ad451589a2127742132381c0b454186cdc18b8a1e52831d,f,,,2026-01-25 02:16:11.534152
D00000098_1,98,android,Android 12,GT5 Pro,realme,3.1.14,24b4879badf4fa3f7f8e6cd7a6f82940176bebc0e925f33192a1d87d4d0a7246,t,,,2026-01-25 02:16:11.534152
D00000099_1,99,ios,iOS 16.5,iPhone 14,Apple,5.2.20,e7a40cc4830910316bc627467407e6077cf7ccabd49e16fa2941dc53c24e7764,t,,,2026-01-25 02:16:11.534152
D00000100_1,100,ios,iOS 17.2,iPhone SE,Apple,5.9.1,f5af49abe07a8fee8b78aea610987c7dad4539882d07b770aec65d03d07cc536,t,,,2026-01-25 02:16:11.534152
