item_id,order_id,product_id,product_name,sku_id,sku_name,quantity,unit_price,discount_amount,actual_amount,created_at
48,514355259275,136,热卖耐克 健身鞋,136,,1,1225.09,0.00,1225.09,2026-01-06 12:46:42.499656
49,514355259275,5,精选完美日记 防晒,5,,1,326.82,0.00,326.82,2026-01-06 12:46:42.499656
50,514355259275,192,限定波司登 外套,192,,3,45.88,0.00,137.64,2026-01-06 12:46:42.499656
51,508493516900,83,经典森马 外套,83,,1,156.70,8.25,156.70,2025-12-31 03:48:27.499656
52,508493516900,158,限定小米 电视,158,,3,1014.75,0.00,3044.25,2025-12-31 03:48:27.499656
53,508493516900,2,热卖完美日记 女士香水,2,,1,1287.31,143.03,1287.31,2025-12-31 03:48:27.499656
54,508493516900,13,限定特步 足球鞋,13,,1,159.09,0.00,159.09,2025-12-31 03:48:27.499656
55,508493516900,125,优质帮宝适 婴儿推车,125,,2,4774.87,0.00,9549.74,2025-12-31 03:48:27.499656
56,873609195252,1,优质戴森 电热水壶,1,,1,156.44,0.00,156.44,2025-11-24 21:27:56.499656
57,873609195252,24,限定百草味 大米,24,,1,213.20,0.00,213.20,2025-11-24 21:27:56.499656
58,125834102769,176,热卖美的 消毒柜,176,,1,5340.88,281.10,5340.88,2025-11-04 01:05:15.499656
59,125834102769,29,精选帮宝适 孕妇奶粉,29,,1,1564.41,391.10,1564.41,2025-11-04 01:05:15.499656
60,125834102769,138,限定李宁 登山杖,138,,1,5159.15,573.24,5159.15,2025-11-04 01:05:15.499656
61,125834102769,95,森马 衬衫,95,,1,13.71,0.00,13.71,2025-11-04 01:05:15.499656
62,125834102769,181,限定UR 套装,181,,1,366.55,0.00,366.55,2025-11-04 01:05:15.499656
63,730687265789,74,新款三星 游戏手机,74,,1,454.05,23.90,454.05,2025-11-29 02:59:54.499656
64,730687265789,57,热卖匹克 瑜伽垫,57,,1,363.14,0.00,363.14,2025-11-29 02:59:54.499656
65,193308176526,85,优质耐克 哑铃,85,,1,139.80,0.00,139.80,2026-01-13 23:01:49.499656
66,825390034143,53,热卖森马 衬衫,53,,1,767.79,0.00,767.79,2025-11-07 03:19:48.499656
67,872376510162,71,限定九阳 刀具,71,,1,7174.23,0.00,7174.23,2026-01-11 14:05:24.499656
68,209951335541,24,限定百草味 大米,24,,2,213.20,0.00,426.40,2025-11-28 03:29:03.499656
69,857611769422,14,限定安踏 运动裤,14,,1,706.07,78.45,706.07,2025-12-07 12:33:27.499656
70,374626713354,160,时尚阿迪达斯 运动裤,160,,2,1448.87,0.00,2897.74,2026-01-04 05:37:40.499656
71,374626713354,73,限定海澜之家 衬衫,73,,1,66.53,7.39,66.53,2026-01-04 05:37:40.499656
72,374626713354,175,精选海澜之家 连衣裙,175,,1,365.90,19.26,365.90,2026-01-04 05:37:40.499656
73,974963674736,180,新款洽洽 食用油,180,,1,3220.34,357.82,3220.34,2025-12-29 17:46:14.499656
74,938470104170,181,限定UR 套装,181,,1,366.55,0.00,366.55,2025-11-12 15:15:50.499656
75,938470104170,125,优质帮宝适 婴儿推车,125,,1,4297.38,477.49,4297.38,2025-11-12 15:15:50.499656
76,655922179756,191,新款蒙牛 碳酸饮料,191,,2,31.95,0.00,63.90,2025-11-24 11:53:54.499656
77,931446472083,94,经典小米 冰箱,94,,3,212.38,33.54,637.14,2025-12-02 17:55:14.499656
78,931446472083,21,经典九阳 油烟机,21,,2,453.36,0.00,906.72,2025-12-02 17:55:14.499656
79,931446472083,189,经典兰蔻 洗发水,189,,3,3296.85,0.00,9890.55,2025-12-02 17:55:14.499656
80,931446472083,30,时尚SK-II 粉底,30,,1,4486.39,0.00,4486.39,2025-12-02 17:55:14.499656
81,988058130852,62,经典宜家 床上用品,62,,1,6631.44,0.00,6631.44,2025-11-22 05:30:28.499656
82,988058130852,147,精选帮宝适 学步车,147,,2,5121.54,2560.76,10243.08,2025-11-22 05:30:28.499656
83,988058130852,158,限定小米 电视,158,,5,913.28,507.35,4566.40,2025-11-22 05:30:28.499656
84,808304913347,106,优质GXG 上衣,106,,1,110.02,0.00,110.02,2026-01-18 09:43:59.499656
85,808304913347,138,限定李宁 登山杖,138,,1,5732.39,0.00,5732.39,2026-01-18 09:43:59.499656
86,698714507218,120,经典雅培 学步车,120,,2,7129.98,0.00,14259.96,2025-12-06 12:58:39.499656
87,698714507218,147,精选帮宝适 学步车,147,,1,5441.63,960.29,5441.63,2025-12-06 12:58:39.499656
88,698714507218,33,时尚小米有品 餐具,33,,1,4954.54,0.00,4954.54,2025-12-06 12:58:39.499656
89,279537093740,67,限定伊利 大米,67,,1,305.44,0.00,305.44,2025-11-29 03:28:23.499656
90,279537093740,89,限定百草味 饼干,89,,1,309.45,16.29,309.45,2025-11-29 03:28:23.499656
91,279537093740,119,限定森马 裤子,119,,3,4008.09,0.00,12024.27,2025-11-29 03:28:23.499656
92,279537093740,157,优质李宁 瑜伽垫,157,,3,77.90,0.00,233.70,2025-11-29 03:28:23.499656
93,260541309655,102,热卖耐克 拉力带,102,,1,829.83,146.44,829.83,2025-12-10 02:20:12.499656
94,260541309655,124,限定伊利 蜜饯,124,,1,5555.11,292.37,5555.11,2025-12-10 02:20:12.499656
95,260541309655,75,美的 垃圾袋,75,,1,4368.89,0.00,4368.89,2025-12-10 02:20:12.499656
96,338433043962,142,经典索尼 游戏手机,142,,1,23.78,2.64,23.78,2025-11-23 18:03:19.499656
97,338433043962,53,热卖森马 衬衫,53,,1,614.23,153.56,614.23,2025-11-23 18:03:19.499656
98,338433043962,126,百草味 坚果,126,,2,287.99,30.32,575.98,2025-11-23 18:03:19.499656
99,839121738937,98,时尚欧莱雅 中性香水,98,,1,5675.20,0.00,5675.20,2025-11-01 09:40:28.499656
100,954871190163,80,限定格力 油烟机,80,,2,5297.22,0.00,10594.44,2026-01-24 04:16:33.499656
101,580470314477,103,限定农夫山泉 肉类,103,,2,1128.17,250.70,2256.34,2025-12-07 00:53:58.499656
102,819347429757,145,热卖小米 空调,145,,3,306.90,48.45,920.70,2025-12-15 19:35:34.499656
103,819347429757,22,精选雅培 成人纸尿裤,22,,1,91.32,4.81,91.32,2025-12-15 19:35:34.499656
104,819347429757,26,精选农夫山泉 果汁,26,,2,2090.87,0.00,4181.74,2025-12-15 19:35:34.499656
105,819347429757,135,GXG 外套,135,,1,35.23,3.91,35.23,2025-12-15 19:35:34.499656
106,819347429757,8,热卖索尼 老人机,8,,1,108.48,12.05,108.48,2025-12-15 19:35:34.499656
107,873106393962,61,优质蒙牛 大米,61,,1,3877.72,0.00,3877.72,2025-12-22 12:59:28.499656
108,873106393962,69,限定OPPO 数据线,69,,1,11.91,1.32,11.91,2025-12-22 12:59:28.499656
109,939916283615,68,耐克 拉力带,68,,1,253.90,0.00,253.90,2025-12-25 16:02:12.499656
110,939916283615,116,新款洽洽 坚果,116,,1,65.65,3.45,65.65,2025-12-25 16:02:12.499656
111,424079676044,114,新款完美日记 中性香水,114,,1,29.73,3.30,29.73,2025-12-20 04:51:12.499656
112,424079676044,111,苹果 智能音箱,111,,3,6067.71,0.00,18203.13,2025-12-20 04:51:12.499656
113,424079676044,52,德尔玛 衣架,52,,2,5072.98,534.00,10145.96,2025-12-20 04:51:12.499656
114,424079676044,21,经典九阳 油烟机,21,,1,430.69,22.67,430.69,2025-12-20 04:51:12.499656
115,862950607849,6,优质巴拉巴拉 儿童奶粉,6,,2,757.48,0.00,1514.96,2026-01-21 06:03:29.499656
116,862950607849,9,热卖宜家 床上用品,9,,1,1355.95,239.28,1355.95,2026-01-21 06:03:29.499656
117,550080402965,165,新款花西子 眉笔,165,,1,3516.50,185.08,3516.50,2026-01-22 02:40:23.499656
118,658124067006,101,限定格力 消毒柜,101,,1,1438.96,0.00,1438.96,2025-11-15 05:53:21.499656
119,658124067006,45,热卖美的 刀具,45,,1,288.80,15.20,288.80,2025-11-15 05:53:21.499656
120,658124067006,173,优质良品铺子 坚果,173,,1,19.12,0.00,19.12,2025-11-15 05:53:21.499656
121,162680535291,177,精选森马 套装,177,,1,67.51,0.00,67.51,2025-12-17 01:11:37.499656
122,500831699752,110,热卖海澜之家 裤子,110,,1,161.03,0.00,161.03,2025-12-06 11:05:29.499656
123,627728725300,97,新款九阳 收纳箱,97,,1,6453.81,1138.91,6453.81,2026-01-05 12:35:04.499656
124,627728725300,176,热卖美的 消毒柜,176,,1,4778.68,843.30,4778.68,2026-01-05 12:35:04.499656
125,627728725300,180,新款洽洽 食用油,180,,2,3578.16,0.00,7156.32,2026-01-05 12:35:04.499656
126,627728725300,192,限定波司登 外套,192,,1,45.88,0.00,45.88,2026-01-05 12:35:04.499656
127,634645978810,179,经典SK-II 面膜,179,,1,14.59,1.62,14.59,2025-12-29 03:01:41.499656
128,634645978810,86,优衣库 内裤,86,,2,828.18,0.00,1656.36,2025-12-29 03:01:41.499656
129,634645978810,70,经典ZARA 裤子,70,,2,26.29,5.84,52.58,2025-12-29 03:01:41.499656
130,943530348673,173,优质良品铺子 坚果,173,,3,16.25,8.61,48.75,2025-12-03 09:11:36.499656
131,943530348673,142,经典索尼 游戏手机,142,,1,23.78,2.64,23.78,2025-12-03 09:11:36.499656
132,400226613987,82,经典耐克 睡袋,82,,1,40.79,7.20,40.79,2025-11-23 17:05:07.499656
133,676439804486,106,优质GXG 上衣,106,,1,110.02,0.00,110.02,2025-12-16 15:56:14.499656
134,676439804486,57,热卖匹克 瑜伽垫,57,,1,363.14,0.00,363.14,2025-12-16 15:56:14.499656
135,857150918353,24,限定百草味 大米,24,,3,191.88,63.96,575.64,2025-12-31 05:02:05.499656
136,995338147760,11,热卖帮宝适 遥控玩具,11,,1,1523.00,0.00,1523.00,2025-12-21 10:51:23.499656
137,995338147760,63,时尚洽洽 调味品,63,,3,223.21,118.17,669.63,2025-12-21 10:51:23.499656
138,496920863136,132,限定ZARA 衬衫,132,,2,2286.71,0.00,4573.42,2026-01-23 00:57:51.499656
139,496920863136,193,热卖H&M 衬衫,193,,1,306.21,16.12,306.21,2026-01-23 00:57:51.499656
140,636201253062,154,热卖蒙牛 咖啡,154,,2,254.62,0.00,509.24,2025-11-18 08:38:02.499656
141,210588392966,32,时尚OPPO 智能手表,32,,1,1063.53,118.17,1063.53,2026-01-13 06:14:06.499656
142,614494639809,151,经典OPPO 笔记本,151,,1,1734.69,0.00,1734.69,2026-01-09 13:56:29.499656
143,614494639809,11,热卖帮宝适 遥控玩具,11,,1,1294.55,228.45,1294.55,2026-01-09 13:56:29.499656
144,614494639809,146,热卖GXG 内裤,146,,2,469.72,0.00,939.44,2026-01-09 13:56:29.499656
145,614494639809,109,百草味 肉类,109,,2,359.20,0.00,718.40,2026-01-09 13:56:29.499656
146,955822203322,134,时尚苏泊尔 餐具,134,,1,5262.24,0.00,5262.24,2025-11-30 23:27:24.499656
147,955822203322,21,经典九阳 油烟机,21,,1,453.36,0.00,453.36,2025-11-30 23:27:24.499656
148,955822203322,152,限定彪马 睡袋,152,,2,27.25,0.00,54.50,2025-11-30 23:27:24.499656
149,502216194971,94,经典小米 冰箱,94,,2,223.56,0.00,447.12,2025-12-07 03:23:17.499656
150,502216194971,36,优质阿迪达斯 篮球鞋,36,,1,4003.64,0.00,4003.64,2025-12-07 03:23:17.499656
151,502216194971,12,时尚统一 水果,12,,2,7142.90,751.88,14285.80,2025-12-07 03:23:17.499656
152,634395796703,138,限定李宁 登山杖,138,,1,5159.15,573.24,5159.15,2025-12-22 23:19:10.499656
153,923183118384,40,新款耐克 睡袋,40,,1,143.24,15.91,143.24,2025-11-14 16:15:04.499656
154,595126953690,107,时尚良品铺子 饼干,107,,4,49.58,49.56,198.32,2025-12-31 20:45:05.499656
155,595126953690,29,精选帮宝适 孕妇奶粉,29,,2,1564.41,782.20,3128.82,2025-12-31 20:45:05.499656
156,595126953690,142,经典索尼 游戏手机,142,,2,23.78,5.28,47.56,2025-12-31 20:45:05.499656
157,595126953690,84,精选vivo 充电器,84,,1,63.32,7.04,63.32,2025-12-31 20:45:05.499656
158,627360172306,74,新款三星 游戏手机,74,,2,477.95,0.00,955.90,2025-11-10 22:32:25.499656
159,627360172306,181,限定UR 套装,181,,1,366.55,0.00,366.55,2025-11-10 22:32:25.499656
160,627360172306,161,精选好孩子 积木,161,,3,526.92,175.65,1580.76,2025-11-10 22:32:25.499656
161,628361524474,42,精选完美日记 牙膏,42,,1,1600.94,0.00,1600.94,2025-12-01 09:56:44.499656
162,628361524474,134,时尚苏泊尔 餐具,134,,2,4736.02,1052.44,9472.04,2025-12-01 09:56:44.499656
163,599962916500,1,优质戴森 电热水壶,1,,1,148.62,7.82,148.62,2025-12-30 01:12:13.499656
164,599962916500,179,经典SK-II 面膜,179,,1,16.21,0.00,16.21,2025-12-30 01:12:13.499656
165,622657904354,112,戴森 电视,112,,2,1334.00,296.44,2668.00,2026-01-03 10:39:31.499656
166,622657904354,6,优质巴拉巴拉 儿童奶粉,6,,1,757.48,0.00,757.48,2026-01-03 10:39:31.499656
167,483909896864,36,优质阿迪达斯 篮球鞋,36,,1,4003.64,0.00,4003.64,2025-11-01 04:02:45.499656
168,483909896864,161,精选好孩子 积木,161,,3,585.47,0.00,1756.41,2025-11-01 04:02:45.499656
169,483909896864,162,限定海尔 冰箱,162,,2,1561.73,0.00,3123.46,2025-11-01 04:02:45.499656
170,535881401245,93,九阳 电饭煲,93,,1,709.54,0.00,709.54,2025-12-09 00:08:57.499656
171,461539723213,174,精选珀莱雅 洗发水,174,,1,604.79,0.00,604.79,2025-11-10 20:54:44.499656
172,130566749681,168,时尚特步 篮球鞋,168,,2,182.75,40.60,365.50,2025-11-20 12:42:14.499656
173,130566749681,196,热卖斐乐 登山杖,196,,1,971.45,51.13,971.45,2025-11-20 12:42:14.499656
174,496163434322,115,精选欧莱雅 粉底,115,,1,5719.17,0.00,5719.17,2025-12-11 04:20:10.499656
175,810718266039,122,优质SK-II 精华,122,,1,4600.13,0.00,4600.13,2025-12-13 02:17:51.499656
176,507759828931,62,经典宜家 床上用品,62,,1,6631.44,0.00,6631.44,2026-01-14 06:03:55.499656
177,507759828931,10,新款小米 电饭煲,10,,2,104.94,11.04,209.88,2026-01-14 06:03:55.499656
178,507759828931,42,精选完美日记 牙膏,42,,3,1440.85,480.27,4322.55,2026-01-14 06:03:55.499656
179,613284540228,142,经典索尼 游戏手机,142,,1,22.46,3.96,22.46,2026-01-13 10:26:45.499656
180,613284540228,58,限定德尔玛 毛巾,58,,2,556.23,58.56,1112.46,2026-01-13 10:26:45.499656
181,534748414370,99,优质百雀羚 洁面,99,,1,220.61,0.00,220.61,2025-10-26 23:31:05.499656
182,534748414370,92,良品铺子 糖果,92,,5,470.35,0.00,2351.75,2025-10-26 23:31:05.499656
183,534748414370,73,限定海澜之家 衬衫,73,,2,73.92,0.00,147.84,2025-10-26 23:31:05.499656
184,393555122788,109,百草味 肉类,109,,2,359.20,0.00,718.40,2025-10-31 07:01:20.499656
185,179619377607,154,热卖蒙牛 咖啡,154,,3,254.62,0.00,763.86,2026-01-18 20:27:41.499656
186,268204280108,81,经典森马 裤子,81,,1,1867.25,0.00,1867.25,2026-01-16 13:26:53.499656
187,268204280108,88,优质耐克 拉力带,88,,1,229.34,0.00,229.34,2026-01-16 13:26:53.499656
188,268204280108,97,新款九阳 收纳箱,97,,2,7592.72,0.00,15185.44,2026-01-16 13:26:53.499656
189,186084395566,38,经典宜家 床上用品,38,,2,3571.73,0.00,7143.46,2025-11-22 18:52:54.499656
190,186084395566,19,德尔玛 收纳箱,19,,2,512.00,53.90,1024.00,2025-11-22 18:52:54.499656
191,996457209264,26,精选农夫山泉 果汁,26,,2,2090.87,0.00,4181.74,2025-12-03 02:33:01.499656
192,480378635721,73,限定海澜之家 衬衫,73,,3,73.92,0.00,221.76,2026-01-03 22:04:13.499656
193,480378635721,27,精选贝亲 婴儿奶粉,27,,1,1337.65,0.00,1337.65,2026-01-03 22:04:13.499656
194,480378635721,39,苏泊尔 空气净化器,39,,2,2643.54,0.00,5287.08,2026-01-03 22:04:13.499656
195,732843344075,15,时尚雅培 积木,15,,1,881.08,46.37,881.08,2026-01-19 06:51:42.499656
196,732843344075,178,新款OPPO 笔记本,178,,1,766.67,135.29,766.67,2026-01-19 06:51:42.499656
197,881952107128,117,新款蒙牛 蜜饯,117,,3,55.05,18.36,165.15,2025-11-07 13:03:16.499656
198,877842451214,44,优质完美日记 中性香水,44,,2,19.39,6.84,38.78,2025-11-09 19:02:06.499656
199,877842451214,67,限定伊利 大米,67,,1,290.17,15.27,290.17,2025-11-09 19:02:06.499656
200,710331875336,157,优质李宁 瑜伽垫,157,,2,74.01,7.78,148.02,2025-12-15 09:19:12.499656
201,710331875336,76,精选苏泊尔 榨汁机,76,,2,236.13,0.00,472.26,2025-12-15 09:19:12.499656
202,328547936912,109,百草味 肉类,109,,1,359.20,0.00,359.20,2025-12-14 22:28:24.499656
203,328547936912,100,新款苏泊尔 窗帘,100,,2,25.81,0.00,51.62,2025-12-14 22:28:24.499656
204,997117671179,190,经典科沃斯 吹风机,190,,1,4876.96,541.88,4876.96,2025-11-21 23:44:15.499656
205,997117671179,109,百草味 肉类,109,,1,359.20,0.00,359.20,2025-11-21 23:44:15.499656
206,997117671179,49,限定联想 老人机,49,,4,822.55,0.00,3290.20,2025-11-21 23:44:15.499656
207,881746796333,21,经典九阳 油烟机,21,,2,408.02,90.68,816.04,2025-11-19 14:57:16.499656
208,881746796333,106,优质GXG 上衣,106,,1,93.52,16.50,93.52,2025-11-19 14:57:16.499656
209,881746796333,110,热卖海澜之家 裤子,110,,1,152.98,8.05,152.98,2025-11-19 14:57:16.499656
210,881746796333,162,限定海尔 冰箱,162,,2,1561.73,0.00,3123.46,2025-11-19 14:57:16.499656
211,209858539085,137,蒙牛 水果,137,,2,5865.06,0.00,11730.12,2025-11-03 09:51:01.499656
212,209858539085,164,新款惠普 智能手表,164,,2,163.01,0.00,326.02,2025-11-03 09:51:01.499656
213,209858539085,149,新款帮宝适 儿童奶粉,149,,1,384.46,0.00,384.46,2025-11-03 09:51:01.499656
214,847701117339,15,时尚雅培 积木,15,,2,881.08,92.74,1762.16,2025-11-16 10:04:34.499656
215,847701117339,75,美的 垃圾袋,75,,1,3713.56,655.33,3713.56,2025-11-16 10:04:34.499656
216,980481884168,192,限定波司登 外套,192,,3,45.88,0.00,137.64,2025-10-29 10:29:38.499656
217,980481884168,25,时尚匹克 运动裤,25,,1,144.65,16.07,144.65,2025-10-29 10:29:38.499656
218,980481884168,62,经典宜家 床上用品,62,,1,6299.87,331.57,6299.87,2025-10-29 10:29:38.499656
219,112016340744,129,限定GXG 卫衣,129,,1,5749.20,0.00,5749.20,2026-01-05 18:36:22.499656
220,112016340744,113,热卖vivo 老人机,113,,1,4272.09,0.00,4272.09,2026-01-05 18:36:22.499656
221,112016340744,7,新款UR 文胸,7,,1,5052.13,891.55,5052.13,2026-01-05 18:36:22.499656
222,259390435163,182,优质华为 智能手表,182,,1,10.28,0.00,10.28,2026-01-02 00:26:32.499656
223,259390435163,60,精选科沃斯 消毒柜,60,,1,5832.66,306.98,5832.66,2026-01-02 00:26:32.499656
224,259390435163,34,时尚小米有品 置物架,34,,1,1874.28,0.00,1874.28,2026-01-02 00:26:32.499656
225,504970095791,113,热卖vivo 老人机,113,,2,3844.88,854.42,7689.76,2025-10-28 15:58:46.499656
226,887339899667,43,经典百草味 大米,43,,1,452.02,113.01,452.02,2025-12-28 08:16:12.499656
227,636022232319,2,热卖完美日记 女士香水,2,,2,1287.31,286.06,2574.62,2025-12-17 13:39:11.499656
228,636022232319,142,经典索尼 游戏手机,142,,1,23.78,2.64,23.78,2025-12-17 13:39:11.499656
229,636022232319,82,经典耐克 睡袋,82,,4,43.19,19.20,172.76,2025-12-17 13:39:11.499656
230,636022232319,146,热卖GXG 内裤,146,,1,446.23,23.49,446.23,2025-12-17 13:39:11.499656
231,495378685748,101,限定格力 消毒柜,101,,1,1438.96,0.00,1438.96,2026-01-24 09:01:03.499656
232,495378685748,122,优质SK-II 精华,122,,4,4140.12,1840.04,16560.48,2026-01-24 09:01:03.499656
233,979545411279,117,新款蒙牛 蜜饯,117,,2,61.17,0.00,122.34,2026-01-11 03:30:17.499656
234,979545411279,166,新款九阳 窗帘,166,,1,180.94,31.93,180.94,2026-01-11 03:30:17.499656
235,979545411279,165,新款花西子 眉笔,165,,1,3516.50,185.08,3516.50,2026-01-11 03:30:17.499656
236,771450901310,17,惠氏 婴儿推车,17,,1,1594.26,83.91,1594.26,2025-11-01 12:32:52.499656
237,347043277222,178,新款OPPO 笔记本,178,,2,856.86,90.20,1713.72,2026-01-24 18:40:29.499656
238,347043277222,2,热卖完美日记 女士香水,2,,3,1358.82,214.56,4076.46,2026-01-24 18:40:29.499656
239,465871138004,102,热卖耐克 拉力带,102,,3,976.27,0.00,2928.81,2025-12-08 10:55:42.499656
240,787777910610,127,经典欧莱雅 精华,127,,3,94.01,0.00,282.03,2025-12-12 19:19:07.499656
241,787777910610,111,苹果 智能音箱,111,,1,5764.32,303.39,5764.32,2025-12-12 19:19:07.499656
242,372192951569,87,完美日记 防晒,87,,2,5755.31,1278.96,11510.62,2026-01-16 07:06:39.499656
243,136737580913,31,德尔玛 纸巾,31,,1,7445.60,0.00,7445.60,2025-11-09 07:30:26.499656
244,136737580913,2,热卖完美日记 女士香水,2,,3,1430.34,0.00,4291.02,2025-11-09 07:30:26.499656
245,136737580913,183,时尚H&M 睡衣,183,,1,1250.30,65.81,1250.30,2025-11-09 07:30:26.499656
246,634163608681,182,优质华为 智能手表,182,,1,9.25,1.03,9.25,2026-01-15 20:43:31.499656
247,634163608681,123,限定格力 吹风机,123,,1,75.38,0.00,75.38,2026-01-15 20:43:31.499656
248,634163608681,121,时尚SK-II 口红,121,,2,4496.12,0.00,8992.24,2026-01-15 20:43:31.499656
249,311322925348,146,热卖GXG 内裤,146,,1,422.75,46.97,422.75,2025-11-14 13:49:00.499656
250,647724474599,17,惠氏 婴儿推车,17,,1,1594.26,83.91,1594.26,2026-01-08 00:10:02.499656
251,647724474599,9,热卖宜家 床上用品,9,,1,1595.23,0.00,1595.23,2026-01-08 00:10:02.499656
252,697476686924,151,经典OPPO 笔记本,151,,2,1561.22,346.94,3122.44,2026-01-01 11:55:28.499656
253,697476686924,23,戴森 油烟机,23,,2,1812.04,639.54,3624.08,2026-01-01 11:55:28.499656
254,281189146642,145,热卖小米 空调,145,,1,323.05,0.00,323.05,2025-11-11 09:24:42.499656
255,281189146642,125,优质帮宝适 婴儿推车,125,,1,4774.87,0.00,4774.87,2025-11-11 09:24:42.499656
